<ID>	<Name>	<Parent ID>
202	TV & Audio	MediaMarkt_DE
203	Fernseher	202
204	3D-Fernseher	203
205	LED- & LCD-Fernseher	203
206	Plasma Fernseher	203
213	LÖSCHEN - Heimkino Leinwände	203
696	QLED	203
898	OLED-TVs	203
789	Curved-TVs	203
20566	Zubehör TV	203
207	TV-Kabel & Stromversorgung	20566
208	Universalfernbedienungen	20566
209	Pflege & Schutz	20566
210	Netzwerke & CI-Module	20566
211	LED-Beleuchtung	20566
212	TV-Tastaturen & USB-Zubehör	20566
691	Wandhalterungen	20566
3678	TV-Festplatten	20566
3122	TV-Karten	20566
6557	DVB-T Stick	20566
4500	3D-Brillen	20566
1815	Professional Shop Display	203
4888	LÖSCHEN - Überspannungsschutz	203
214	TV- & Multimediamöbel	202
215	Decken- & Wandhalterungen	214
216	Stand- & Tischfüße	214
217	Drehteller	214
218	Multimedia-Möbel	214
219	Heimkino Leinwände	214
220	Kabelkanäle	214
221	Fernseher LED-Beleuchtung	214
222	Heimkino Systeme	202
223	2.1 Systeme	222
224	5.1 Systeme	222
225	Soundbars	222
226	Heimkino Kompaktanlagen	222
227	Funk Heimkinosystem	222
228	Jukeboxen	222
787	Soundbase	222
229	DVD-Player & Blu-ray-Player	202
230	LÖSCHEN - 3D-Blu-ray-Player	229
231	Blu-ray-Player	229
232	DVD-Player	229
233	Blu-ray-Recorder	229
234	DVD-Recorder	229
235	Tragbarer DVD-Player	229
236	Tragbarer DVD-/Blu-ray-Player	229
237	Multimedia-Player	229
240	Tastaturen & USB-Zubehör	229
692	UHD-Blu-ray-Recorder	229
2850	LÖSCHEN - Videokassetten	229
11234	UHD-Blu-ray-Player	229
2567	Zubehör DVD-/Blu-ray-Player	229
238	HDMI Kabel & Zubehör	2567
239	Universalfernbedienungen	2567
10040	3D-Brillen	229
241	Beamer	202
242	3D-Beamer	241
243	Full HD-Beamer	241
244	HD ready-Beamer	241
245	Mini-Beamer	241
246	Multifunktions-Beamer	241
3501	Zubehör Beamer	241
247	Heimkino Leinwände	3501
248	Kabel & Stromversorgung	3501
249	Universalfernbedienungen	3501
250	Halterungen	3501
3500	3D-Brillen	3501
4300	UHD 4K-Beamer	241
251	HiFi Komponenten & Anlagen	202
252	AV-Receiver	251
253	Netzwerk-Player	251
254	HiFi-Tuner	251
255	Vollverstärker	251
256	Kassettendeck	251
257	Plattenspieler & Tonabnehmersysteme	251
258	Hifi Kabel & Steckdosen	251
788	Kompaktanlagen & Audiosysteme	251
765	Jukeboxen	251
4561	HiFi-CD-Player	251
259	Lautsprecher	202
260	Funklautsprecher	259
261	Regallautsprecher	259
262	Standlautsprecher	259
263	Lautsprecher-Sets	259
264	Subwoofer	259
265	Outdoorlautsprecher	259
266	Center Lautsprecher	259
267	Wandlautsprecher	259
268	Adapter & Kabel	259
269	Halterungen & Ständer	259
784	Streaming Lautsprecher	259
270	SAT, Kabel & DVB-T	202
271	Satellitenanlagen Single	270
272	Satellitenanlagen Twin	270
273	Satellitenanlagen Quad	270
274	SAT Receiver Single	270
275	SAT Receiver Twin	270
276	Festplatten-Receiver	270
277	DVB-T	270
278	Zimmerantennen	270
279	Kabel Receiver	270
280	Mobile SAT-Anlagen	270
281	SAT-IP Receiver	270
283	CI-Module & Netzwerke	270
290	Zubehör SAT/Kabel/DVB-T	270
282	Adapter & Kabel	290
284	Antennen- & TV-Zubehör	290
1629	HD DVB-T2 Receiver	270
285	Mp3-Player & Mp4-Player	202
286	Mp3-Player & Mp4-Player	285
287	Apple iPod	285
289	CD-Player & Discmans	285
292	Halterungen & Ständer	285
4211	Zubehör Mp3-/Mp4-Player	285
288	App-Zubehör	4211
291	Taschen, Cover & Cases (MP3)	4211
293	Schutzfolien	4211
