<Name>	Category Relation Classification Reference	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
1254391 KDL 46 WE 5 BAEP SCHWARZ	205;1072	BLOCKED				KDL 46 WE 5 BAEP SCHWARZ	
1855382 KDL 50 W 706 BSAE2	205;1072	ACTIVE				KDL 50 W 706 BSAE2	
1753431 KDL 24 W 605 AWAEP	205;1072	DELETED		"<header>Unterhaltung mit dem gewissen Extra</header>

<body>Steigern Sie das Unterhaltungserlebnis mit dem W60. Alles, was Sie sehen, erscheint noch brillanter und fließender, auch wenn es sich um ein einfaches Internet- oder ein altes Heimvideo handelt. Darüber hinaus können Sie Ihr Smartphone oder Tablet ganz einfach in Ihr Fernseherlebnis integrieren.</body>

<header>Optimiert jedes Bild</header>

<body>Der X-Reality Pro Bildprozessor sorgt für schärfere und kontrastreichere Bilder - egal, ob DVD/Blu-ray, TV oder Internetclip. Erleben Sie Ihre Lieblingsfilme und -sendungen neu und entdecken Sie feinste Details, die Ihnen bisher entgangen sind.</body>

<header>Spiegeln Sie Ihren Smartphone-Bildschirm auf dem Fernseher</header>

<body>Grenzenlose Möglichkeiten. Dank der Bildschirmspiegelung* können Sie Ihr Smartphone oder Tablet kabellos mit Ihrem Fernseher verbinden und Fotos, Videos, Apps, Webseiten und Spiele im Großformat auf dem Fernsehbildschirm genießen. Verwenden Sie einfach Ihr Smartphone, um Inhalte auf dem Fernseher mit einer Fingerbewegung zu vergrößern, zu bewegen und auszuwählen.</body>

<header>Tauchen Sie in die Welt des Online-Entertainments ein</header>

<body>Sie finden keine Sendung, die Sie interessiert? Dann greifen Sie dank integriertem Wi-Fi® auf Ihrem Fernseher auf das Sony Entertainment Network zu, und streamen Sie Inhalte eines stetig wachsenden Angebots an HD-Videos, Musik und Fernsehkanälen. Außerdem stehen ein Webbrowser sowie Apps wie Twitter™, Facebook®, YouTube™ und Skype™ zur Verfügung.</body>

<header>Antworten auf all Ihre Fragen</header>

<body>Sie möchten wissen, wer der Hauptdarsteller ist? Kein Problem. Mit TV SideView und Ihrem Smartphone oder Tablet erfahren Sie mehr zu den Programmen, beispielsweise die Besetzung oder Informationen zur aktuellen Folge. Entdecken Sie ähnliche Inhalte, oder twittern Sie über die Show – und steuern Sie dabei Ihren Fernseher.</body>"		KDL 24 W 605 AWAEP	
1753430 KDL 24 W 605 ABAEP	205;1072	DELETED				KDL 24 W 605 ABAEP	
1557427 TX-L 32 C 5 E SCHWARZ	188;1072	DELETED				TX-L 32 C 5 E SCHWARZ	
1254390 KDL 40 WE 5 BAEP SCHWARZ	205;1072	DELETED				KDL 40 WE 5 BAEP SCHWARZ	
1497122 LC 70 LE 835 E	188;1072	DELETED				LC 70 LE 835 E	
1903001 55 PUS 8909 C	204;205;1083;1072;1084;1078;10099;789;1499	DELETED				55 PUS 8909 C	
2163401 ART 55 BLACK - 54459W86	1072;205;1083;1084;1899;10099	DELETED				ART 55 BLACK - 54459W86	
1895493 RETRO RADIO BT ROT	303;1166;315;308;310;1167	ACTIVE				Lucille Retro-Radio mit Bluetooth® und NFC	
