<Name>	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
2123977 0010/4990 DIGITRADIO 360 CD IR SCHWARZ	ACTIVE	"
Klassische Eleganz und moderne Ausstattung bedeuten beim DIGITRADIO 360 CD IR keinen Widerspruch. Das edle, kompakte Gehäuse bietet Platz für erstklassige Musiktechnik und beeindruckenden Sound in Stereo-Qualität, wobei die Lautsprecher in einem Bassreflex-Holgehäuse integriert sind. Als Spitzenradio empfängt das DIGITRADIO 360 CD IR neben DAB+ und UKW auch Internetradio, so dass Sie praktisch eine grenzenlose Senderauswahl genießen. Auch das private Musikarchiv kommt bei dieser Mini-Anlage nicht zu kurz. Denn egal ob CDs, Musikdateien oder Streams – mit diesem Digitalradio spielen Sie Musik über den integrierten CD-Player, die USB-Schnittstelle oder die Netzwerkfunktionen rauf und runter. Hierzu zählen topmoderne Möglichkeiten wie das Multiroom-Musikstreaming oder die Nutzung von Spotify Connect. Neben der mitgelieferten Fernbedienung ist zudem die Steuerung per App möglich, die insbesondere bei der Einrichtung und Bedienung der Netzwerkfunktionen und des Multiroom-Betriebs perfekt assistiert."	"<header>DigitRadio 360 IR</header>

<body>Stereo-Design-Radio für den Empfang von DAB+, UKW und Internetradio mit Multiroom-Streaming, Spotify Connect und Steuerung per App</body>

<body>Als großer Bruder und Stereo-Variante des DigitRadio 306 IR begeistert das DigitRadio 360 IR beim Klang durch die Kombination zweier leistungsstarker Lautsprecher mit dem Bassreflex-Holzgehäuse und sorgt so für einen fantastischen Sound. Die für die neue Generation der 300er DigitRadios typische Aluminiumfront unterstreicht das dezente und gleichzeitig aufregende Design: Das DigitRadio 360 IR schreit quasi danach, immer und überall gute Musik abzuspielen. Diese Musik kommt aus diversen Quellen: DAB+, UKW, Internetradio - Sie können sogar die Songs von anderen DLNA/UPnP-fähigen Geräten aus dem Netzwerk abspielen. Für die nötige Individualität sorgt Spotify Connect. Hierbei streamen Sie die ganze Musikvielfalt von Spotify direkt auf das Radio. Im Multiroom-System mit Steuerung per MyDigitRadio Pro-App (iOS und Android) läuft das DigitRadio 360 IR zur Höchstform auf und verteilt oder empfängt diverse Musikstreams. Erleben Sie selbst, wie gut es sich anfühlt, wenn die Lieblingsmusik Sie in jedem Raum begrüßt und niemals stoppt.</body>"		"DAB+/UKW/Internet Stereo-Designradio mit CD-Player, Multiroom-Streaming, Spotify Connect und Steuerung per App
"	
2130776 CD 58 UNION JACK	ACTIVE	"Spezifikationen

- COMPATIBLE CD-R / RW / MP3
- LCD-Anzeige
- USB 2.0
- AUX IN
- Repeat-Funktion
- zufällig
- Programm
- FM-Stereoradio
- Teleskopantenne"	"<header>Spezifikationen</header>

<body>- Kompatibel mit CD-R / RW / MP3</body>
<body>- LCD-Anzeige</body>
<body>- USB 2.0</body>
<body>- AUX IN</body>
<body>- Repeat-Funktion</body>
<body>- zufällig</body>
<body>- Programm</body>
<body>- FM-Stereoradio</body>
<body>- Teleskopantenne</body>"		CD 58 UNION JACK	
2130781 CD 58 UNION JACK PINK	ACTIVE	"Spezifikationen

- COMPATIBLE CD-R / RW / MP3
- LCD-Anzeige
- USB 2.0
- AUX IN
- Repeat-Funktion
- zufällig
- Programm
- FM-Stereoradio
- Teleskopantenne"	"<header>Spezifikationen</header>

<body>- Kompatibel mit CD-R / RW / MP3</body>
<body>- LCD-Anzeige</body>
<body>- USB 2.0</body>
<body>- AUX IN</body>
<body>- Repeat-Funktion</body>
<body>- zufällig</body>
<body>- Programm</body>
<body>- FM-Stereoradio</body>
<body>- Teleskopantenne</body>"		CD 58 UNION JACK PINK	
2130783 CD 58 USB SCHWARZ	ACTIVE	"Spezifikationen

- COMPATIBLE CD-R / RW / MP3
- LCD-Anzeige
- USB 2.0
- AUX IN
- Repeat-Funktion
- zufällig
- Programm
- FM-Stereoradio
- Teleskopantenne"	"<header>Spezifikationen</header>

<body>- Kompatibel mit CD-R / RW / MP3</body>
<body>- LCD-Anzeige</body>
<body>- USB 2.0</body>
<body>- AUX IN</body>
<body>- Repeat-Funktion</body>
<body>- zufällig</body>
<body>- Programm</body>
<body>- FM-Stereoradio</body>
<body>- Teleskopantenne</body>"		CD 58 USB SCHWARZ	
2130793 MCD 11 KIDS PINK	ACTIVE	"MIKRO-STEREOANLAGE MIT CD-SPIELER

- Mit Wiederhol- und Programmierfunktion
- UKW-Stereo-Radio
- LCD-Anzeige
- 3.5mm Klinkenbuchse
- Kopfhöreranschluss 3.5mm Klinkenbuchse
- 2 Lautsprecher
- 5 Aufkleber-Bögen enthalten
- Uhrzeit-Anzeige
- Stromversorgung 230V"	"<header>MIKRO-STEREOANLAGE MIT CD-SPIELER</header>

<body>- Mit Wiederhol- und Programmierfunktion</body>
<body>- UKW-Stereo-Radio</body>
<body>- LCD-Anzeige</body>
<body>- 3.5mm Klinkenbuchse</body>
<body>- Kopfhöreranschluss 3.5mm Klinkenbuchse</body>
<body>- 2 Lautsprecher</body>
<body>- 5 Aufkleber-Bögen enthalten</body>
<body>- Uhrzeit-Anzeige</body>
<body>- Stromversorgung 230V</body>"		MCD 11 KIDS PINK	
2130791 MCD 11 KIDS BLAU	ACTIVE	"MIKRO-STEREOANLAGE MIT CD-SPIELER

- Mit Wiederhol- und Programmierfunktion
- UKW-Stereo-Radio
- LCD-Anzeige
- 3.5mm Klinkenbuchse
- Kopfhöreranschluss 3.5mm Klinkenbuchse
- 2 Lautsprecher
- 5 Aufkleber-Bögen enthalten
- Uhrzeit-Anzeige
- Stromversorgung 230V"	"<header>MIKRO-STEREOANLAGE MIT CD-SPIELER</header>

<body>- Mit Wiederhol- und Programmierfunktion</body>
<body>- UKW-Stereo-Radio</body>
<body>- LCD-Anzeige</body>
<body>- 3.5mm Klinkenbuchse</body>
<body>- Kopfhöreranschluss 3.5mm Klinkenbuchse</body>
<body>- 2 Lautsprecher</body>
<body>- 5 Aufkleber-Bögen enthalten</body>
<body>- Uhrzeit-Anzeige</body>
<body>- Stromversorgung 230V</body>"		MCD 11 KIDS BLAU	
2130796 MCD 11 FLAG USB MP3	ACTIVE				MCD 11 FLAG USB MP3	
2134851 CMP 524 MP3 PORTABLE RADIO BLACK	ACTIVE				Stereo-AM/FM-Radio-CD-Player mit CD	
2134852 CMP 524 MP3 PORTABLE RADIO GREEN	ACTIVE				Stereo-AM/FM-Radio-CD-Player mit CD	
2134838 CMP 552 BT SCHWARZ	ACTIVE				Stereo-Radio-CD-Player mit CD/Bluetooth	
